customer_id,total_orders,total_items,total_spend,total_profit
CUST-01199,29,70,8002.99,3643.99
CUST-01479,31,68,7995.71,3699.71
CUST-01033,34,76,7994.76,3554.76
CUST-01455,28,73,7936.91,3476.41
CUST-01291,24,50,7924.5,3646.5
CUST-01351,27,72,7915.23,3525.23
CUST-01081,26,48,7911.34,3631.34
CUST-01168,23,45,7900.05,3304.05
CUST-01032,24,62,7899.69,3424.19
CUST-01331,25,63,7852.27,3735.77
CUST-01290,22,55,7850.4,3799.4
CUST-01254,29,63,7833.46,3636.46
CUST-01059,31,67,7823.55,3757.05
CUST-01136,27,63,7809.6,3243.6
CUST-01356,27,56,7777.26,3796.26
CUST-01137,24,60,7777.12,3589.12
CUST-01228,28,56,7776.67,3517.17
CUST-01276,33,82,7744.59,3711.09
CUST-01015,28,68,7642.49,3613.99
CUST-01187,27,43,7634.48,3247.48
CUST-01006,27,54,7615.74,3301.24
CUST-01075,28,59,7602.38,3350.38
CUST-01132,24,62,7581.08,3221.08
CUST-01453,22,51,7578.85,3314.85
CUST-01195,26,50,7569.96,3438.46
CUST-01450,32,71,7564.71,3781.71
CUST-01386,20,50,7560.86,3344.86
CUST-01267,29,54,7557.69,3297.19
CUST-01475,24,69,7533.58,3481.08
CUST-01253,31,62,7518.37,3151.37
CUST-01500,28,59,7500.4,3460.4
CUST-01430,28,63,7499.74,3454.74
CUST-01410,21,65,7495.81,3482.31
CUST-01121,30,57,7481.72,3215.22
CUST-01458,25,53,7473.16,3309.66
CUST-01415,26,54,7471.78,3270.28
CUST-01443,26,52,7463.31,3428.31
CUST-01325,27,73,7460.71,3485.71
CUST-01221,19,44,7458.03,3284.03
CUST-01380,20,44,7456.23,3455.23
CUST-01478,28,64,7452.85,3326.35
CUST-01227,30,68,7438.72,3482.72
CUST-01297,30,55,7418.23,3317.23
CUST-01412,27,74,7401.71,3294.71
CUST-01401,26,62,7384.47,3465.47
CUST-01087,29,71,7380.37,3328.37
CUST-01323,25,50,7355.97,3170.97
CUST-01067,33,70,7355.59,3536.59
CUST-01220,21,42,7343.78,3212.78
CUST-01397,23,46,7339.01,3221.51
CUST-01390,22,53,7337.53,3162.53
CUST-01111,29,52,7327.43,3410.93
CUST-01146,23,48,7303.52,3063.52
CUST-01485,18,43,7288.65,3189.15
CUST-01442,26,62,7259.41,3322.91
CUST-01045,23,52,7251.66,3269.66
CUST-01002,23,55,7241.65,3360.65
CUST-01030,33,71,7239.83,3241.83
CUST-01456,20,47,7231.8,3428.8
CUST-01184,26,65,7145.59,3409.59
CUST-01189,18,50,7131.76,3353.76
CUST-01178,28,54,7126.52,3210.52
CUST-01496,29,73,7124.71,3174.71
CUST-01172,26,49,7120.14,3302.64
CUST-01462,25,60,7098.83,3147.83
CUST-01283,24,64,7089.45,3025.45
CUST-01377,27,62,7084.06,3140.06
CUST-01185,28,71,7075.57,3270.57
CUST-01092,28,62,7059.54,3359.54
CUST-01201,25,53,7054.85,3270.85
CUST-01279,27,57,7033.14,3200.64
CUST-01446,21,46,7017.93,2955.93
CUST-01394,26,65,7004.1,3253.1
CUST-01463,34,62,6998.36,2996.36
CUST-01112,31,52,6985.23,3139.73
CUST-01315,27,51,6949.37,3233.37
CUST-01224,25,44,6947.21,3029.21
CUST-01303,25,61,6942.21,3195.21
CUST-01471,26,63,6938.38,3165.38
CUST-01379,24,56,6919.61,3023.61
CUST-01164,28,62,6915.25,3362.25
CUST-01332,25,50,6915.07,3093.07
CUST-01207,23,59,6907.54,3330.54
CUST-01113,23,48,6877.07,3130.57
CUST-01327,26,53,6866.62,2770.12
CUST-01296,28,75,6863.77,3258.27
CUST-01288,21,51,6860.04,3099.04
CUST-01483,27,49,6848.1,3020.1
CUST-01378,25,43,6843.53,3014.53
CUST-01330,26,52,6820.98,3063.48
CUST-01237,31,62,6804.6,3106.1
CUST-01389,32,60,6800.13,3277.13
CUST-01231,30,60,6800.09,2999.59
CUST-01214,23,47,6793.94,2970.44
CUST-01056,29,59,6793.72,3109.72
CUST-01324,29,52,6771.14,2962.64
CUST-01451,21,41,6735.44,3122.94
CUST-01192,29,57,6729.37,2923.87
CUST-01232,31,64,6705.93,3119.43
CUST-01151,31,67,6679.66,2982.66
CUST-01145,25,61,6671.85,2857.35
CUST-01233,31,68,6628.97,2840.97
CUST-01047,19,49,6568.42,2929.42
CUST-01149,26,61,6568.12,2954.62
CUST-01349,30,56,6541.72,2594.72
CUST-01452,25,46,6507.92,2832.92
CUST-01134,27,54,6456.56,2847.56
CUST-01310,26,60,6422.88,2966.38
CUST-01266,15,32,6388.39,2845.39
CUST-01200,20,37,6376.93,3056.93
CUST-01104,23,59,6364.51,2806.51
CUST-01073,25,48,6347.34,2815.84
CUST-01293,25,65,6336.04,2935.54
CUST-01099,21,38,6333.79,2877.79
CUST-01371,21,50,6321.89,2971.89
CUST-01174,24,50,6293.84,2856.34
CUST-01342,23,36,6289.26,2846.76
CUST-01064,17,39,6276.37,2906.87
CUST-01089,25,58,6260.57,2884.07
CUST-01419,13,30,6256.46,2594.46
CUST-01186,19,52,6249.12,2968.12
CUST-01190,26,54,6247.76,2850.76
CUST-01017,30,72,6243.18,2978.18
CUST-01026,15,34,6239.75,2610.75
CUST-01117,28,57,6231.8,2946.8
CUST-01004,39,75,6221.14,2968.14
CUST-01255,20,44,6190.32,2768.32
CUST-01158,31,60,6152.3,2900.3
CUST-01388,25,57,6151.24,2837.24
CUST-01046,25,54,6124.45,2917.45
CUST-01370,23,47,6117.33,2744.83
CUST-01018,19,60,6101.79,2809.29
CUST-01039,16,38,6101.53,2826.53
CUST-01120,22,51,6098.28,2825.78
CUST-01438,26,48,6070.97,2652.47
CUST-01309,20,37,6061.69,2572.19
CUST-01285,26,50,6056.91,2879.41
CUST-01445,22,51,6054.05,2548.05
CUST-01119,29,68,6050.62,2953.12
CUST-01219,21,53,6041.23,2881.23
CUST-01148,28,49,6036.45,2666.45
CUST-01062,29,51,5978.4,2617.4
CUST-01123,26,48,5911.73,2730.73
CUST-01176,15,27,5904.6,2497.6
CUST-01014,24,46,5900.91,2695.41
CUST-01440,26,62,5886.98,2712.48
CUST-01289,25,57,5873.09,2702.09
CUST-01054,32,66,5863.35,2629.85
CUST-01398,29,48,5857.04,2722.04
CUST-01100,27,46,5839.09,2726.59
CUST-01320,23,49,5826.26,2279.26
CUST-01053,26,46,5824.32,2647.82
CUST-01461,22,52,5813.03,2726.03
CUST-01414,14,26,5807.04,2357.54
CUST-01170,18,37,5798.96,1862.46
CUST-01223,21,41,5798.76,2675.76
CUST-01350,26,51,5796.41,2571.91
CUST-01086,40,63,5791.14,2749.64
CUST-01103,19,40,5779.69,2550.69
CUST-01287,23,52,5763.59,2785.09
CUST-01259,18,37,5763.21,2558.71
CUST-01305,26,46,5758.16,2601.66
CUST-01157,24,48,5756.71,2500.71
CUST-01433,23,51,5730.49,2732.49
CUST-01460,28,47,5713.94,2462.44
CUST-01466,24,56,5709.09,2545.09
CUST-01391,18,41,5699.8,2688.3
CUST-01363,24,47,5699.13,2479.13
CUST-01495,23,56,5699.04,2533.04
CUST-01097,27,47,5697.81,2609.31
CUST-01079,21,49,5689.9,2572.9
CUST-01318,24,50,5688.28,2522.28
CUST-01359,26,61,5685.54,2784.04
CUST-01166,30,55,5676.42,2429.42
CUST-01382,18,35,5669.99,2588.99
CUST-01426,24,48,5655.08,2693.08
CUST-01105,24,50,5629.55,2718.55
CUST-01126,31,78,5625.06,2835.56
CUST-01292,21,46,5617.19,2658.69
CUST-01383,25,58,5587.54,2712.04
CUST-01385,22,34,5586.91,2457.41
CUST-01027,29,51,5582.55,2555.55
CUST-01238,20,43,5580.63,2686.63
CUST-01498,27,59,5579.38,2623.38
CUST-01275,20,41,5576.11,2521.11
CUST-01063,20,34,5575.14,2507.64
CUST-01217,24,54,5552.88,2667.88
CUST-01393,29,69,5540.29,2685.79
CUST-01216,13,27,5538.14,2435.14
CUST-01088,24,51,5536.69,2451.19
CUST-01041,29,52,5533.65,2465.15
CUST-01264,26,59,5533.03,2516.03
CUST-01413,19,52,5531.35,2586.85
CUST-01300,23,51,5523.69,2561.69
CUST-01316,32,61,5517.66,2640.66
CUST-01457,25,73,5512.78,2751.78
CUST-01449,24,36,5497.98,2295.98
CUST-01312,24,62,5493.35,2687.85
CUST-01487,20,33,5488.5,2487.5
CUST-01317,26,50,5477.64,2488.14
CUST-01404,24,49,5472.42,2570.42
CUST-01021,23,44,5470.77,2583.77
CUST-01029,22,49,5463.78,2525.28
CUST-01477,21,51,5456.68,2565.18
CUST-01265,32,54,5439.51,2459.51
CUST-01162,21,48,5422.95,2470.95
CUST-01028,33,68,5417.68,2620.18
CUST-01020,28,50,5391.95,2640.95
CUST-01399,25,49,5387.95,2372.95
CUST-01447,21,39,5367.91,2391.91
CUST-01493,23,58,5357.96,2611.46
CUST-01078,19,40,5332.97,2422.97
CUST-01272,22,48,5304.28,2435.28
CUST-01422,26,37,5298.11,2407.11
CUST-01282,21,47,5285.94,2301.44
CUST-01408,24,49,5280.48,2430.98
CUST-01421,19,33,5270.19,2063.19
CUST-01268,22,47,5268.27,2387.77
CUST-01019,26,47,5259.83,2346.33
CUST-01042,24,48,5244.96,2441.46
CUST-01005,24,46,5239.89,2365.89
CUST-01159,23,60,5224.35,2478.35
CUST-01057,24,39,5217.36,2178.36
CUST-01175,21,42,5195.9,2440.9
CUST-01129,30,68,5183.58,2528.58
CUST-01167,25,50,5181.32,2311.32
CUST-01329,29,55,5176.24,2326.24
CUST-01284,26,59,5166.93,2355.43
CUST-01125,18,43,5165.17,2470.17
CUST-01340,21,42,5149.89,2341.89
CUST-01072,21,34,5145.0,2235.0
CUST-01344,18,34,5143.74,2292.24
CUST-01434,30,55,5134.07,2231.07
CUST-01321,32,46,5131.08,2323.58
CUST-01107,29,58,5121.66,2439.66
CUST-01424,18,38,5117.6,2186.1
CUST-01066,22,53,5110.42,2505.42
CUST-01499,28,54,5106.23,2421.23
CUST-01444,22,42,5077.91,2438.41
CUST-01286,19,34,5074.95,2285.95
CUST-01194,25,51,5072.55,2412.55
CUST-01459,20,51,5047.68,2363.68
CUST-01244,24,59,5034.75,2355.25
CUST-01435,18,33,4997.46,2151.96
CUST-01280,20,45,4975.25,2324.25
CUST-01239,23,48,4925.15,2334.15
CUST-01248,24,47,4912.18,2147.18
CUST-01101,26,48,4911.29,2351.79
CUST-01420,20,47,4910.28,2279.28
CUST-01486,20,36,4898.25,2074.25
CUST-01012,22,52,4889.47,2263.97
CUST-01061,26,44,4881.59,2281.59
CUST-01051,29,48,4876.75,2341.75
CUST-01252,27,51,4861.53,2400.53
CUST-01333,17,39,4857.49,2212.49
CUST-01263,24,43,4852.75,2235.75
CUST-01098,26,52,4824.72,2261.22
CUST-01429,26,49,4796.37,2277.37
CUST-01085,23,41,4784.04,2021.04
CUST-01489,27,39,4772.84,2271.84
CUST-01080,23,43,4772.4,2108.4
CUST-01179,24,44,4770.76,2235.76
CUST-01204,19,42,4767.15,2114.65
CUST-01262,21,39,4759.59,2290.59
CUST-01358,22,44,4733.63,2217.63
CUST-01395,25,38,4732.02,2126.02
CUST-01008,23,44,4730.64,2219.64
CUST-01212,22,44,4720.92,2163.92
CUST-01469,24,51,4715.63,2169.63
CUST-01353,18,41,4698.83,2120.33
CUST-01258,21,35,4695.84,2095.34
CUST-01439,27,59,4685.38,2220.88
CUST-01095,21,47,4683.29,2187.79
CUST-01152,20,40,4661.33,2157.33
CUST-01110,23,39,4659.26,2112.76
CUST-01147,21,39,4656.54,2176.54
CUST-01108,21,55,4643.3,2362.3
CUST-01106,15,42,4616.53,2064.03
CUST-01206,26,51,4611.64,2039.64
CUST-01484,22,37,4602.92,1980.42
CUST-01171,20,36,4600.91,2109.41
CUST-01336,18,31,4576.43,2013.93
CUST-01337,18,35,4575.58,2135.58
CUST-01196,23,47,4574.81,2260.81
CUST-01251,21,41,4550.84,2004.84
CUST-01191,19,25,4539.71,2029.71
CUST-01165,31,59,4526.01,2282.01
CUST-01314,20,43,4523.82,2089.32
CUST-01338,24,55,4499.34,2171.34
CUST-01372,29,56,4489.06,2157.06
CUST-01209,24,48,4479.44,2126.44
CUST-01082,25,48,4476.27,2006.27
CUST-01366,26,47,4454.51,2107.01
CUST-01024,18,52,4412.48,2158.48
CUST-01109,22,48,4404.99,2186.99
CUST-01049,17,32,4404.83,1752.83
CUST-01304,21,31,4404.1,1969.6
CUST-01313,26,45,4389.78,1984.28
CUST-01448,25,51,4389.12,2064.12
CUST-01250,24,52,4379.79,2163.79
CUST-01490,22,44,4362.75,2143.25
CUST-01143,18,43,4353.44,2072.44
CUST-01153,21,45,4337.55,2009.55
CUST-01480,22,34,4297.74,2074.24
CUST-01040,18,42,4280.48,2008.48
CUST-01035,22,48,4274.66,1967.16
CUST-01114,23,43,4232.51,1962.01
CUST-01269,26,39,4219.59,1883.09
CUST-01065,19,31,4219.19,1693.19
CUST-01007,19,36,4214.34,1758.34
CUST-01417,23,43,4194.35,1970.85
CUST-01038,23,46,4188.24,1966.74
CUST-01396,19,35,4185.41,1779.41
CUST-01431,23,40,4181.34,1764.34
CUST-01307,20,41,4167.6,1962.6
CUST-01322,25,44,4164.34,2002.34
CUST-01135,30,45,4155.95,1977.45
CUST-01055,21,35,4131.66,1892.16
CUST-01472,23,56,4125.93,1870.93
CUST-01274,24,46,4123.86,1972.36
CUST-01203,24,46,4119.59,1985.09
CUST-01025,21,38,4109.02,1967.02
CUST-01034,28,36,4103.82,1868.32
CUST-01405,26,53,4079.36,2004.86
CUST-01070,15,25,4064.21,1835.21
CUST-01355,17,45,4056.8,1906.8
CUST-01302,18,37,4054.72,1878.22
CUST-01418,21,49,4023.09,1851.59
CUST-01163,20,44,3995.73,1743.73
CUST-01249,27,61,3981.41,2007.91
CUST-01392,15,28,3911.58,1756.08
CUST-01257,23,36,3896.29,1839.29
CUST-01133,18,35,3866.94,1793.94
CUST-01138,23,40,3865.09,1756.59
CUST-01341,29,50,3859.97,1959.47
CUST-01155,18,30,3853.79,1545.29
CUST-01365,21,41,3848.69,1645.69
CUST-01271,21,37,3836.86,1888.86
CUST-01139,18,32,3815.31,1653.31
CUST-01277,18,29,3808.28,1802.78
CUST-01491,19,39,3802.9,1660.4
CUST-01488,25,55,3801.02,1790.02
CUST-01343,25,49,3762.66,1881.66
CUST-01367,17,30,3752.18,1790.18
CUST-01369,16,30,3737.86,1681.36
CUST-01076,16,33,3734.02,1787.02
CUST-01256,18,42,3713.15,1771.15
CUST-01407,18,39,3675.54,1802.54
CUST-01347,20,34,3671.99,1717.99
CUST-01481,19,30,3666.64,1738.64
CUST-01052,16,28,3641.2,1639.2
CUST-01144,19,38,3637.45,1714.45
CUST-01245,18,31,3615.96,1674.46
CUST-01427,18,33,3606.45,1598.45
CUST-01177,24,33,3602.97,1609.97
CUST-01116,20,28,3594.95,1644.95
CUST-01230,21,38,3571.44,1790.94
CUST-01208,18,33,3565.03,1688.53
CUST-01301,21,35,3560.7,1599.7
CUST-01205,23,28,3557.74,1508.24
CUST-01242,16,35,3525.8,1706.8
CUST-01036,19,44,3516.47,1713.97
CUST-01048,20,30,3460.36,1612.86
CUST-01454,25,34,3435.37,1601.37
CUST-01298,18,40,3423.76,1553.76
CUST-01246,23,40,3413.25,1678.25
CUST-01169,15,36,3387.9,1627.4
CUST-01361,16,39,3365.23,1660.23
CUST-01213,17,32,3358.85,1538.85
CUST-01118,23,41,3344.88,1563.88
CUST-01464,19,45,3336.81,1699.81
CUST-01180,20,42,3314.34,1530.34
CUST-01278,24,41,3306.44,1476.44
CUST-01474,16,43,3247.33,1501.83
CUST-01473,22,32,3227.43,1448.43
CUST-01403,18,32,3185.21,1447.71
CUST-01441,23,36,3181.23,1451.23
CUST-01091,20,38,3163.01,1556.01
CUST-01334,21,35,3162.41,1416.41
CUST-01470,15,30,3109.52,1448.02
CUST-01437,18,42,3106.59,1523.59
CUST-01295,17,34,3101.33,1456.83
CUST-01211,18,39,3063.48,1458.48
CUST-01181,20,42,3058.78,1468.28
CUST-01090,20,37,3055.8,1473.8
CUST-01348,23,37,3049.89,1427.39
CUST-01124,18,34,3012.42,1215.42
CUST-01319,17,28,2988.39,1382.89
CUST-01387,19,34,2981.25,1402.75
CUST-01360,16,27,2896.14,1360.14
CUST-01130,20,41,2884.55,1423.05
CUST-01335,17,34,2863.13,1344.13
CUST-01273,13,33,2847.65,1360.15
CUST-01218,18,39,2845.52,1488.52
CUST-01009,18,36,2826.73,1400.73
CUST-01416,20,29,2814.45,1372.45
CUST-01084,10,26,2800.83,1340.83
CUST-01102,19,32,2772.61,1264.61
CUST-01083,16,30,2749.62,1296.62
CUST-01226,16,25,2663.18,1280.18
CUST-01362,19,34,2654.01,1200.01
CUST-01043,20,37,2645.09,1334.59
CUST-01122,17,24,2584.8,1245.3
CUST-01022,20,27,2523.04,1140.54
CUST-01236,22,29,2516.71,1113.71
CUST-01031,23,39,2484.77,1197.77
CUST-01235,17,30,2380.18,1129.18
CUST-01142,15,27,2203.29,1023.79
CUST-01050,11,18,2036.83,936.83
CUST-01141,17,27,2029.73,971.73
CUST-01374,15,27,1828.31,821.31
CUST-01409,18,36,1802.31,946.31
CUST-01193,14,17,1650.42,780.42
